"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","2011-01-01","2011","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-02","2011","01","02","†","-10.0","","-29.0","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-03","2011","01","03","†","-9.0","","-14.0","","-11.5","","29.5","","0.0","","0.0","","3.0","","3.0","","45","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-04","2011","01","04","†","-3.0","","-11.0","","-7.0","","25.0","","0.0","","0.0","","4.0","","4.0","","47","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-05","2011","01","05","†","3.0","","-8.0","","-2.5","","20.5","","0.0","","0.0","","1.0","","1.0","","47","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-06","2011","01","06","†","5.0","","-2.0","","1.5","","16.5","","0.0","","16.5","","0.0","","16.5","","48","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-07","2011","01","07","†","3.5","","1.0","","2.3","","15.7","","0.0","","20.6","","0.0","","20.6","","45","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-08","2011","01","08","†","-1.0","","-1.0","","-1.0","","19.0","","0.0","","0.0","","3.0","","3.0","","44","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-09","2011","01","09","†","-10.0","","-12.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-115.07","49.49","FERNIE","1152850","2011-01-10","2011","01","10","†","-15.0","","-20.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
